"parameter","x_correlation","y_correlation","true_value","mean_estimate","sd_estimate","bias","rmse","coverage"
"beta_y3",0.2,0.8,-0.05,-0.00995875025857306,0.0427913687430852,0.0400412497414269,0.0570201086974705,0.5
"beta_y3",0.4,0.2,-0.05,-0.0124407422018899,0.108295517103432,0.0375592577981102,0.109388413319578,0.5
"beta_y3",0.4,0.4,-0.05,-0.0165293000227671,0.0708319167309789,0.0334706999772329,0.0750715135185899,0.6
"beta_y3",0.4,0.6,-0.05,0.00719576248313003,0.128358883946938,0.05719576248313,0.134535341175915,0.2
"beta_y3",0.4,0.8,-0.05,0.0195631861511996,0.105604055172883,0.0695631861511996,0.121967338618042,0.2
"beta_y3",0.6,0.2,-0.05,-0.0062891126254588,0.066566232229987,0.0437108873745412,0.0768023347368863,0.7
"beta_y3",0.6,0.4,-0.05,-0.039783695660381,0.0607055570640924,0.010216304339619,0.0584894953557929,0.5
"beta_y3",0.6,0.6,-0.05,-0.0171707468367779,0.0778001954505359,0.0328292531632221,0.0807795966453309,0.5
"beta_y3",0.6,0.8,-0.05,-0.043908871185477,0.108931094822993,0.00609112881452299,0.103520466225947,0.6
"beta_y3",0.8,0.2,-0.05,-0.0415887469844173,0.0512970318070202,0.00841125301558266,0.0493861934378581,0.7
"beta_y3",0.8,0.4,-0.05,-0.0193177949327624,0.0453287394955573,0.0306822050672376,0.0528263463587868,0.6
"beta_y3",0.8,0.6,-0.05,-0.0329829680806734,0.0429868388538169,0.0170170319193266,0.044188922350777,0.6
"beta_y3",0.8,0.8,-0.05,0.0500928157122284,0.0981796849715617,0.100092815712228,0.136725627605821,0.4
"beta_y4",0.2,0.2,0.02,0.0450704746586903,0.0641341277044988,0.0250704746586903,0.06580574748749,0.4
"beta_y4",0.2,0.4,0.02,0.0428758230045447,0.068043325940851,0.0228758230045447,0.068485093726437,0.7
"beta_y4",0.2,0.6,0.02,0.00549604020099811,0.0507559328739274,-0.0145039597990019,0.0502882998277276,0.7
"beta_y4",0.2,0.8,0.02,0.0469869221474759,0.0918782131609454,0.0269869221474759,0.0912454898352639,0.3
"beta_y4",0.4,0.2,0.02,0.00399554757902118,0.0588393738939903,-0.0160044524209788,0.0580689867787314,0.5
"beta_y4",0.4,0.4,0.02,0.0617478256636941,0.0718711529651414,0.0417478256636941,0.0799487167710094,0.5
"beta_y4",0.4,0.6,0.02,0.0586360699271791,0.108124232831588,0.0386360699271791,0.109610723254139,0.5
"beta_y4",0.4,0.8,0.02,0.0573861812508428,0.0665013195364687,0.0373861812508428,0.0733342314243711,0.6
"beta_y4",0.6,0.2,0.02,0.0838958014010316,0.120876444924334,0.0638958014010316,0.131273290811463,0.5
"beta_y4",0.6,0.4,0.02,0.0335626744291138,0.0405137277552347,0.0135626744291138,0.0407574785853208,0.6
"beta_y4",0.6,0.6,0.02,0.0454919059387791,0.0641712405428541,0.0254919059387791,0.0659999285599577,0.6
"beta_y4",0.6,0.8,0.02,0.0367531103023106,0.0780105796984797,0.0167531103023106,0.075879853684657,0.6
"beta_y4",0.8,0.2,0.02,0.0557027654924037,0.095516252687777,0.0357027654924037,0.0973945919369721,0.5
"beta_y4",0.8,0.4,0.02,0.0252676726189344,0.0555959487880969,0.00526767261893436,0.0530053482613226,0.6
"beta_y4",0.8,0.6,0.02,0.0439335838087443,0.0500582702155637,0.0239335838087443,0.0531795431459047,0.4
"beta_y4",0.8,0.8,0.02,0.0438745833617702,0.0755772263706309,0.0238745833617702,0.0755693136265504,0.5
